reviewid,comment
777989,"Dropped in for brunch before an afternoon at the EMP. †Place was smoking busy, always a good sign. †You can wait for a table or grab the open spots at the bar, which is what we chose to do.

The menu claims to have the best tofu scramble in the world and they're not lying! †Spices were fantastic, so much veg and the tofu was cooked well. †Big portions too.

Seriously stiff drinks thank to the amazing free pour. †Oh and a fun jukebox that had a whole mix of different and awesome songs."
1837979,"Kate's is wonderful. By the third time I ordered the same omelet they almost start making it when I walk in. The staff treats each other like family, and include us. It's a classic restaurant, with Greek overtones, although Kate is Irish! Her Greek omelette and scrambles are the best! Not only do I go on my own, I bring my family, friends and people from work. 

Oh, and don' t forget to check out the best homemade hot sauce ever made, but don't use too much, unless you're me, lol!"
823725,"I love this place. †I look forward to getting my oil changed nearby because I get to come here for lunch while I wait. †The menu is gut bomb and delicious. †I haven't had anything I haven't really liked. I recommend the meatloaf sandwich, and always let Tim have his way with you. †That man knows a good sandwich. †They serve beer and pastries and coffee. †I like the laid back vibe and decor. †This place is a joint, not some overly designed and overly processed spot. †And the owners are top drawer! †They almost always give us complimentary samples of their specials. †And the last time I was in, I waited for my order at my car because it was hot and I didn't want to leave my dog out there. †The owner came out to chat and bring my pup some bacon while we waited. †How great is that? †Imagine that happening anywhere on Capitol Hill or Queen Anne."
1923034,"Great happy hour starting at 3:00. †We got there at 3:00 on the dot and recommend you show up early. †The space is limited for the bar, so shortly after we got seated the waiting area filled up quickly. †

We tried the chef's choice oysters which were served on a big tray of ice and were delicious! †Also tried a bunch of stuff on the happy hour menu--the best thing we had was actually the lime tequila mussels. †I'm not the biggest fan of mussels--until now. †These were the best mussels I've ever had. †Very flavorful and tender! †

The oyster stew was very bland. †I'd avoid that. †Just tasted like someone heated heavy cream, added Tabasco and then threw in an oyster or two. †The sliders were delicious! †The fried calamari was okay. †Nothing too exciting there. †

Great deal for oysters!"
2195516,"These guys really know what they are doing, could I say they are flavourologist? Some of the most delicious crepes around and if you are hankering for a milkshake...theirs will knock you on your ass with insane yumminess! Can't wait to go back!"
1332488,"One of my favorite Indian lunch buffets on the eastside.

They've recently renovated their interiors, and the place looks quite a bit nicer than it did a few months ago. The buffet-time service is still top-notch, with frequent water top-off, naan refills, and expended plate takeaways.

The food selection at the buffet is really a standout compared to some of the other buffets in the area. Some of the dishes are actually pretty flavorful--their chicken tikka masala, prepared with what appear to be diced jalapeno peppers and a darker, spiced sauce, is a wonderful departure from the bland, fluorescent orange cream of chicken preparation that most restaurants serve in their buffets. The curries and saag similarly have some spices in them, though the levels are still tame enough to maintain edibility for most.

The buffet also includes a dessert selection. It's nothing special--a simple mango custard and kheer being the primary offerings--but it's still very nice than it's included.

The biggest issue that Taj Palace still has is that its location gets *absolutely packed* during lunch. Either plan to arrive early or expect to park well down the street and wait in a bit of a line to get in."
1043305,"I saw my fellow Yelper, Cynthia, had checked into this place only a few hours earlier and the thought of Hot Pot on such a decidedly dreary day sounded great. Plus the free parking was a huge selling point. I mean, come on, where else can you park in the ID for free?
I was excited to try it out since she said you got to pick and choose your ingredients and quantity as opposed to other hot pot places where I've only been able to choose between Combo A, B or C with such and such choices available and no substitutions. What if I didn't want a pound of sliced beef? What if I just need a little to finish off my udon? Well here at Uway you can do it that way.
First off, parking: 1) yes it's Free!! Love it, love it, love it! 2) slightly shady since it was dim and was practically empty at about 4 in the afternoon on a weekday but it should go without saying never to leave anything of importance in your car, and 3) lots of construction on Jackson street confused us on where the entrance was so you might have to circle back to it once or twice like us in order to enter the garage but for free parking I'll gladly make like an eagle and circle a few times.
Second, the food: So it's real easy, after perusing the menu my hubby and I went with the Bone soup option for our Hot Pot which is not spicy at all because we were sharing with our 13 month old daughter. She loved it and I seriously hope she'll acclimate to spicier stuff as she gets older cuz her Mama LOVES the heat! Maybe next time I'd do a half and half hot pot but for our first time I like to stick with super basic stuff to get a good base-line on a place. You get your meats and veggies in the cooler and fill a bowl. I think it was $8.75/ pound so you grab as much as you want and if need be you can even go back for seconds because they tally up the weight for you and pay at the end of the meal instead of each time you go up. The meats looked clean and bright. They had lamb, pork, beef, cod, shrimp, mussels, squid, tripe, meatballs, fishballs, crab (not sure if its imitation or what) and sliced pig ears to name a few. The veggies were good too, no brown cabbage here, and a good amount of mushroom choices but I would have preferred more green choices like maybe zucchini slices, snow peas or even some carrots and baby corn. If you're like me you geek out over Enoki and my god I loved filling my bowl up with that stuff but yes, more veggie choices wouldn't hurt. I did enjoy the tofu choices but I couldn't tell you the names of them as I couldn't recognize some things. I got what I thought was water chestnuts and it ended up being something more like some sort of glutinous rice slice (?). I also grabbed some ramen noodles to toss in. My hubby went with bean three noodles (I think, again I can only guess). Next time I'm hoping to try the house made noodles that they apparently make for you in sight.
Overall it was a good experience. I wish more people were there so I could get a good feel for the crowd vibe but maybe next time. I'll be back."
1889891,Great convenient place in Redmond for some decent dum sum! The owner and staffs are really friendly. They look like they are family run.
829899,"I've been going to Avanti's for many years, they've always been a contender in the hotly debated ""best pizza in Lynnwood""category. We ordered a sausage and mushrooms the other day, picked it up (we're across the street) and as usual, just a great pizza! the sausage is quality stuff, no rubbery things in it, just melts in your mouth, and the mushrooms seemed fresh, not out of a can, (but thats doubtful) anyways they seem to be upping the ante lately with their dining room conversion, and the food getting better, and I'm totally in love with Janetta, so pretty, and just as sweet as can be. In Lynnwood, we have several choices for a good pizza, and we do try others, but Avanti's is always at the top of the list."
969991,"Went here for a quick lunch, worked well as they had very quick service. Tried the pollo a la diabla, which claimed to be spicy, and it had a bit of a kick. Nothing to write home about, but if you're in a hurry, these guys can have you in and out rather quickly."
1060510,"I love Gustav's. †I have been going to this location since they opened and they keep getting better. †More recent menu updates that include smaller portions and items to share, are perfect for me. †The happy hour menu is served in the main dining room, so if you have underage folks in your party, you can still get the deals. †It's great when you have late activities and need a place to eat after 9:00. †

It helps if you like German food, but there is really something for everyone. †The service is consistently good and they go out of their way to help you.

The only downside for us is that the main dining room gets very noisy during busy times. †If that's an issue for you, ask to be seated in a quieter part of the restaurant. †Not always possible, but that's my only complaint with this location."
903277,"A great place to start off your Friday night. †Pizza good, †beer good, service awesome!"
861474,"Man this place have good food! the poached egg with red wine fois gras sauce on brioche! the fries! the drinks! very nice cozy place, very attentive service!"
1037833,"Tried the triple threat, it was good. Switched between pineapple sauce and the walnut sauce, they were both yum. The only thing the was a bummer...NO KIDS MEAL. My son is 7 and i had to get him a burger that was as big as his head almost. He ate half. The burger was good though."
270558,"Very good pho, spicy broth was an interesting choice, decent serving size, friendly service. †I like it a lot, I just don't love it. †Solid 4 stars."
1928020,Best Dahl I have ever eaten! Friendly staff.
801065,"3.5 Stars!

First day of work lunch! Winning! Okay, well this review is going to sound kind of conflicted. I consider myself a healthy eater and someone willing to spend the money on good food. However, rather than a Zagat rated restaurants, most of my money goes towards the Whole Foods Hot Food Bar. So keep this in mind when evaluating my view of RN74.

Setting: This restaurant is absolutely wonderfully designed. I loved every design aspect from the wine list on the wall that changes like the train schedule to the brick and the lighting. 

Service: The service was ahhhmazing. Literally the second my water glass was empty someone would literally, in almost a ghostly way as to make him/herself invisible, float by to refill it. I felt waited on hand and foot. Each server was absolutely polite and just WOW. No problems on the service. 

Menu: Here is where my first gripe is. Vegetarian. Meat, meat, meat, meat, meat...that was what filled the menu.Oh wait...I just checked out the menu again and there was a veggie burger. But still meat to veggie ratio is like 5:1. If I did ever end up returning, I would try one of their non-alcoholic drinks which sounded good and most had homemade syrup. 

Food: I ended up ordering the spring beet salad. Excuse my lack of food knowledge, but I didn't know what buratta was. We actually took bets at the table because I seriously thought it was meat. Apparently it is cheese! It was okay. I actually like feta or goat cheese better. The salad was presented beautifully, of course with salad dressing drizzle. I mean I can't negate that it was a very interesting salad. Never before have I tasted beet meringue! It was actually delicious, and I really did like the fresh assortment of beets. The pickled strawberry was also good. So if you put this analysis together, it would seem that besides the cheese, I liked the beet salad.

Price: Glad I wasn't paying lol. Most of the dishes are a bit pricier, but the lunch prices aren't too bad. They mark up the same items for dinner and at that point the prices become almost exorbitant. For example, beet salad at lunch $15. Okay....the salad wasn't that large so that's pushing it a tiny bit, but it was composed of high quality ingredients. Beet salad for dinner: 17.50 Say what!!! That is just your appetizer (except for me who eats lunch and dinner salads lol). 

Anyway, the food is creatively put together, tasty, and elegantly presented. The restaurant itself has a great atmosphere and service. I wish there were more vegetarian options."
868574,"Pretty delicious! The salsa was on par with most of the Mexican food places in the area. I didn't happen to try the pico de gallo, but I appreciated that they served it with the chips and salsa. I ordered the nachos with picadillo and they were easily some of the best nachos I've ever had. Lots of gooey cheese, picadillo, jalapenos, beans. So yum. My husband had the pollo a la crema, which he loved and said it was the best he'd had. Our friend had one of the combos and liked it as well.

The restaurant was nearly empty, with the exception of a very large family having lunch. Not sure if this is normal for a Sunday afternoon, since it was also Superbowl Sunday, but it was kind of nice. Only real downer about the place is the location. Slightly out of the way strip mall next to a storage facility with lots of closed businesses. Kind of weird. Didn't seem like there would be enough parking if the other stores in the strip mall were rented out. 

Delicious though! I'm a little sad I never made it in when I actually lived nearby, probably would've gone all the time."
2542613,"We moved from Portland and were missing Pine State Biscuits which we would go to once every two months.. †We just had Serious Biscuit this morning and in all honesty this is so much better!
The biscuits are delicious but love the flavor profiles that are so interesting such as the sausage with the red pepper, the sweet and sour collard greens, and the creamy but airy grits.

So yummy, we're so impressed!"
2140041,"I had a GABA bowl with sprouted brown rice and the textures and flavors were excellent. The rice had a pleasant nuttiness and firm texture that was pleasing against the sunomo and fish slices. There was just enough of a sweet, soy sauce based sauce to accent the flavors without overwhelming them. †It was the perfect lunch portion; I didn't leave in a lunch coma. The price was good, too. This is going on my go-to list."
251130,"What the duck? How have I gone my whole life without a homemade black bean burger and tots from Zippy's? Seriously good stuff going on here. My friend had his usual meaty and cheesy burger and interestingly enough, commented mostly on the deliciousness of the bun. His son also had a cheeseburger but seemed to like the old school video games more. It's a little bit of a hole in the wall but aren't those always the best places? They also serve beer and they make their own root beer! It's old timey while still being hip and relevant. Don't be intimidated by the long lines, they go quickly. Definitely have someone in your group score a table while you wait to order though. Don't forget to grab the special sauce out of the fridge!"
1754291,"Awesome Vietnamese food!! I am visiting Bellevue from Vancouver and craved Pho. Used Yelp and discovered this place. I had the dinner combo #1 which you choose your pho, appetizer and tea. I choose small pho with rare beef, tripe and meat balls, fried spring roll and thai iced tea. 50% off for thai iced tea. What did I think? I rarely finish my meal but this time I cleaned it up well!"
1113208,"That was disgusting! †We ate there for lunch. †When we first arrived we were seated near a table of women and children. †The children were running around and around the table and restaurant, screaming and chasing each other, while the mothers chatted and ignored their brats (excuse me, little darlings). †Nice start - not! †We should have left. †For appetizers, we had the coconut shrimp and fried polenta. †The shrimp were tasty, but greasy, and there were only three shrimps for $5. †The polenta was also tasty but for almost $5 there were only 5 sticks. †We each had a pint of †Guinness. †She didn't tell us it was from a can, and when we asked her about it being canned, she said they don't usually bring the can out. †That seems deceptive - and it was only so, so. †I wanted to have a salmon burger, but when I saw that it was made of ground salmon, I changed my mind. †I had the pit roasted salmon that was way too fishy smelling and tasting - not fresh. †I sent it back and they made it for me again, but it wasn't any better the second time. †It had a creamy sauce with capers, but the capers tasted burnt. †The green beans and mashed potatoes were nice, but I still can't get the taste of that fish out of my mouth. †My husband had the salmon tacos (that salmon tasted fresher) but the thicker portions of fish were raw. †He was still hungry after he ate his tacos, so he ate most of the potatoes and green beans from my plate.

Bottom line, for it's name, the menu seemed to serve more Mexican style food and the quality of the salmon that was on the menu was sub-par and way too expensive. †We were really disappointed with Coho Cafe and won't go back."
